valor_fatura_centavos,valor_pago_centavos,inadimplente
3913,0,1
11073,2306,0
38358,3000,0
16646,17270,0
218668,10000,0
17447,1318,0
175886,8083,0
18565,0,0
165254,6400,0
8583,0,0
18722,1411,0
171438,10908,0
19660,9677,0
4000,5645,0
50801,2360,0
9168,1650,0
115785,10478,1
102349,3166,0
48860,0,0
14483,0,1
47790,2000,0
226430,9100,0
79278,3100,0
3265,2686,0
58203,1506,0
26655,1800,0
29242,5006,0
210380,10000,1
89003,4100,1
50859,2007,0
60502,3276,0
1686,657,0
9720,1200,1
47819,2200,0
24898,3800,1
46512,1974,1
47081,3000,1
194314,9010,0
20631,0,1
69937,3500,0
153249,7900,0
120298,4007,0
55607,11404,0
44338,3629,0
70119,3600,0
61807,2300,0
46122,1260,0
23974,1800,0
212795,8909,1
50893,1800,0
177554,7600,0
8574,1203,1
19161,2000,1
18355,2900,0
111496,6022,1
4073,2400,1
12339,10000,0
37850,38187,0
108351,8005,0
49809,2040,0
35785,15155,0
30341,5000,0
23396,1426,0
3280,0,1
36146,3000,0
26795,2000,0
148363,6900,0
186149,0,1
53261,4500,0
25078,1500,0
64762,0,1
247276,10000,0
159398,6163,1
8109,2000,1
17681,1611,0
7960,2000,1
152856,6000,0
109863,4380,0
37647,0,1
25103,1509,0
11442,3738,0
1438,1261,0
2648,200,0
15355,3164,0
16754,2400,1
54968,0,1
11058,2000,1
550,0,0
4290,4738,0
44733,2100,0
2450,0,1
35660,2000,0
15294,1300,0
24401,1454,0
11315,1212,1
22431,1500,0
22109,6000,0
10737,21197,0
47585,10000,0
3779,3955,0
10889,29987,0
8201,39,1
11973,20979,1
148747,5500,0
286732,10792,0
113348,0,0
80000,0,0
131795,6743,1
62198,1600,0
11109,78016,0
26847,2500,0
1350,0,0
284204,10261,1
148341,8405,0
34735,0,0
198510,0,0
1723,6876,0
3424,155,0
19977,2000,1
234328,8913,1
147300,10000,0
71195,0,0
3820,2640,0
137606,6000,0
666,666,0
81998,4003,1
584,3307,0
30101,2000,0
3675,19316,1
89394,5000,0
16984,87004,0
23901,4146,1
74298,7000,1
194301,10744,0
194961,7200,0
132214,4414,0
12200,1518,0
34480,1472,0
50332,4210,0
21460,3000,0
57612,2134,0
3153,1013,0
6186,735,1
9877,1140,0
14682,3200,0
67857,3000,0
42189,83754,0
47236,1800,0
20755,2000,0
165040,6809,1
48206,2120,0
80610,6502,0
187610,8500,0
69602,0,0
17104,1613,0
17524,5000,0
142149,6534,0
44734,10120,0
23800,1246,0
100895,3371,0
6526,783,0
1988,0,0
15931,2000,0
3313,7458,1
44278,0,0
93738,3000,1
50716,3029,1
49546,0,0
49617,1813,0
47853,2412,1
24285,3002,0
2635,1270,0
89910,5000,0
49816,3000,0
35417,1908,1
16033,1716,0
13265,1632,0
4330,8369,0
667,0,0
173058,6300,0
44795,10000,1
28383,5000,1
49157,0,1
57598,0,1
131446,5000,0
49459,2300,0
17771,1311,0
22415,0,0
32023,10000,0
27947,2000,0
106417,9026,0
21251,33840,0
101038,4215,0
816,803,0
19261,81975,0
116486,4353,0
6708,1098,0
49619,2072,0
33895,0,1
16039,1600,1
85997,0,0
1473,390,0
578,7129,0
